"ExpireTime","RaidId","AllyCode","Name","Score","Rank"
10/27/2023 17:31:54 +00:00,kraytdragon,625367959,Blattu,4258998,8
10/27/2023 17:31:54 +00:00,kraytdragon,825371335,Nomad,4550960,5
10/27/2023 17:31:54 +00:00,kraytdragon,371731743,Trask droll,2700000,27
10/27/2023 17:31:54 +00:00,kraytdragon,597271922,Scof,1747320,38
10/27/2023 17:31:54 +00:00,kraytdragon,394321369,Javin Fis,0,48
10/27/2023 17:31:54 +00:00,kraytdragon,299292257,G4reth,3419691,12
10/27/2023 17:31:54 +00:00,kraytdragon,133674987,Tani Mayse,2315374,33
10/27/2023 17:31:54 +00:00,kraytdragon,793549187,Dârth Jungle Asian,3105648,19
10/27/2023 17:31:54 +00:00,kraytdragon,643373276,Avatany,1241656,44
10/27/2023 17:31:54 +00:00,kraytdragon,862389575,Enigma,4952422,2
10/27/2023 17:31:54 +00:00,kraytdragon,255925733,Fidget92,1351372,41
10/27/2023 17:31:54 +00:00,kraytdragon,938743519,Chikiller,2255558,34
10/27/2023 17:31:54 +00:00,kraytdragon,678195521,XCAL,3597975,11
10/27/2023 17:31:54 +00:00,kraytdragon,964121997,DarthDax,2393802,30
10/27/2023 17:31:54 +00:00,kraytdragon,175993797,El Jefe,3047076,21
10/27/2023 17:31:54 +00:00,kraytdragon,312333279,Excessive Fist,2593011,28
10/27/2023 17:31:54 +00:00,kraytdragon,132898449,Jay Maop,1280346,43
10/27/2023 17:31:54 +00:00,kraytdragon,492564869,OwningXylophone,3331791,14
10/27/2023 17:31:54 +00:00,kraytdragon,124165769,Tyrian,1468656,40
10/27/2023 17:31:54 +00:00,kraytdragon,749275383,Dava,3036768,22
10/27/2023 17:31:54 +00:00,kraytdragon,334861731,JediAhsoka,1042956,45
10/27/2023 17:31:54 +00:00,kraytdragon,556839255,Jeeves,3102432,20
10/27/2023 17:31:54 +00:00,kraytdragon,475136137,WharfRat,4885650,3
10/27/2023 17:31:54 +00:00,kraytdragon,118679749,manolis,1800000,37
10/27/2023 17:31:54 +00:00,kraytdragon,834874213,BobbyMarshal,2251824,35
10/27/2023 17:31:54 +00:00,kraytdragon,197788324,Skaar,4341243,7
10/27/2023 17:31:54 +00:00,kraytdragon,924462567,non7top,269379,47
10/27/2023 17:31:54 +00:00,kraytdragon,381676275,Marl Jewel,2941307,25
10/27/2023 17:31:54 +00:00,kraytdragon,478966819,Lambert,3176896,16
10/27/2023 17:31:54 +00:00,kraytdragon,446172192,Q Ryker,1350000,42
10/27/2023 17:31:54 +00:00,kraytdragon,336698836,Jonesmalones,3828916,10
10/27/2023 17:31:54 +00:00,kraytdragon,452518631,Puck,3150000,17
10/27/2023 17:31:54 +00:00,kraytdragon,312478199,Taco Hat,0,49
10/27/2023 17:31:54 +00:00,kraytdragon,454629175,Delara Exibil,3890068,9
10/27/2023 17:31:54 +00:00,kraytdragon,471792187,Geralt of Rivia,928225,46
10/27/2023 17:31:54 +00:00,kraytdragon,855527258,BobaChuck91,1735732,39
10/27/2023 17:31:54 +00:00,kraytdragon,346854538,Tyron Brandt,5786704,1
10/27/2023 17:31:54 +00:00,kraytdragon,214224828,JakeY,2831320,26
10/27/2023 17:31:54 +00:00,kraytdragon,685711659,MINI DarthAzazel,4554951,4
10/27/2023 17:31:54 +00:00,kraytdragon,858966128,T,3006510,24
10/27/2023 17:31:54 +00:00,kraytdragon,452238138,Yosh,1895947,36
10/27/2023 17:31:54 +00:00,kraytdragon,389689423,ArtVandalay,2439681,29
10/27/2023 17:31:54 +00:00,kraytdragon,729916753,Squanchy420,2323125,32
10/27/2023 17:31:54 +00:00,kraytdragon,256121811,JHang,3033857,23
"10/23/2023 17:39:57 +00:00","kraytdragon",132898449,"Jay Maop",1627582,40
"10/23/2023 17:39:57 +00:00","kraytdragon",255925733,"Fidget92",1392140,42
"10/23/2023 17:39:57 +00:00","kraytdragon",814134474,"RoTahn Taske",3495083,13
