CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score,SpecialResults
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,795112941,Rh Factor,Rich Howley#2806,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,473794447,ItzBerndern,ItzBerndern#5396,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,715487269,C2,kitsura,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,235598485,rockoffanddie,rockoffanddie#5252,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,712815396,MINIxur'kthan,xurkthan#3544,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,295928884,Akbahr,akbahr#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,948172661,Excelsior 101,Digolo doorjam#3841,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,517437864,Chelli,Klaud the Bod#1794,6,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,363639736,FateHydro,EricE#9019,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,285458979,OhMyPretzel,ohmypretzel,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,863697863,Mega Kicagemon,orthodoxrebel#0000,6,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,944998814,Philadelphia Collins,_philadelphiacollins#0000,6,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,741489737,Mc,Mc#4119,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,788557913,s0da p0pinski,s0da_p0pinski#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,778628584,Bobandy,bobandy8960#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,846356518,CT69420,Fancytomato22#7624,8,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,275475314,SithKebab,pooba#0000,6,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,436482977,PaulB086,paulb086#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,341125679,8,8........#0588,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,751425437,Mugami Chinzano,theflig#9620,6,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,732614324,SecretId,â¦.secretidâ©#0000,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,716951122,MINI Mace Dymond,dymo0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,235598485,rockoffanddie,rockoffanddie#5252,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,945343361,Falen Lacer,Fallen Lacer#4294,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,712815396,MINIxur'kthan,xurkthan#3544,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,885421384,Thessa Odai,Thessa Odai#0111,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,517437864,Chelli,Klaud the Bod#1794,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,299834132,DonKeyHoeTae,â¦donkeyhoetaeâ©#0000,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,285458979,OhMyPretzel,ohmypretzel,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,788557913,s0da p0pinski,s0da_p0pinski#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,778628584,Bobandy,bobandy8960#0000,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,436482977,PaulB086,paulb086#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,472927571,DocWho619,docwhoSD#3664,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,611122258,Yodizzle,yodizzle69#2795,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,482555984,TheMonkeyBuddha,â¦mâ—nkðŸ‡¨ðŸ‡¦â©#5843,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,712146515,Zick,â¦Zickâ©#0282,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,452956267,Zazztrain,zazztrain#0000,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,795112941,Rh Factor,Rich Howley#2806,6,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,473794447,ItzBerndern,ItzBerndern#5396,6,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,187142131,Digolo Doorjam,Digolo doorjam#3841,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,396314914,Trate Daxson,â¦TrateDaxsonâ©#7855,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,363639736,FateHydro,EricE#9019,11,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,863697863,Mega Kicagemon,orthodoxrebel#0000,9,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,944998814,Philadelphia Collins,_philadelphiacollins#0000,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict01,275475314,SithKebab,pooba#0000,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,732614324,SecretId,â¦.secretidâ©#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,751425437,Mugami Chinzano,theflig#9620,5,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,716951122,MINI Mace Dymond,dymo0000,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,262663538,Daggo,Daggo#4474,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,778931966,A1Savage,a1savage,5,
